model_id,fecha,autor,algoritmo,n_features,imbalance_strategy,cv_folds,cv_F1,cv_Precision,cv_Recall,auc_roc,kaggle_public_F1,threshold,notas,cp,maxdepth,train_F1,train_Precision,train_Recall,nrounds,max_depth,eta,gamma,min_child_weight,colsample_bytree,subsample,lambda,alpha
LPM_002A,2026-04-12,Jonathan,LPM,98,none,5,0.6693,0.6015,0.7543,0.9081,0.66,0.33999999999999997,"Sin índices compuestos — se conservan componentes: ciudad, dpto, dep_*, alguno_*, prop. individuales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPM_002B,2026-04-12,Jonathan,LPM,82,none,5,0.6584,0.5956,0.7361,0.9028,0.65,0.33999999999999997,"Con índices compuestos — se eliminan componentes: zona, bogota, dummies regionales, n_privaciones, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RF_001,2026-04-12,Jonathan Melo,RandomForest,108,none,5,0.7164,0.6759,0.762,1,0.71,0.38,RF ranger. mtry=50 min_node_size=3 splitrule=gini num.trees=150. Threshold optimizado sobre probs OOF CV-5 (max F1). th=0.38 F1_OOF=0.7164 (CV-5 F1 th=0.5: 0.6921).,NA,NA,0.9942,0.9885,0.9999,NA,NA,NA,NA,NA,NA,NA,NA,NA
XGB_001,2026-04-13,Jonathan,XGBoost,108,none,5,0.7173,0.7586,0.6804,0.9413,NA,0.36,XGBoost grilla reducida (8 combos). nrounds=200 max_depth=6 eta=0.1 gamma=0.5 min_child_weight=10 colsample=0.66 subsample=0.8. F1 CV-5=0.7173. threshold_oof=0.36 F1_oof=0.7343.,NA,NA,NA,NA,NA,200,6,0.1,0.5,10,0.66,0.8,NA,NA
RF_002_top20,2026-04-13,Jonathan Melo,RandomForest,20,none,NA,0.6639,0.6091,0.7296,0.9021,NA,0.36,RF ranger. Feature selection por importancia RF_001. Subconjunto: top20 (20 vars). mtry=20 min_node_size=5 splitrule=gini num.trees=150. Threshold optimizado sobre probs OOB (max F1). th=0.36 F1_OOB=0.6639 AUC_OOB=0.9021.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RF_002_top40,2026-04-13,Jonathan Melo,RandomForest,40,none,NA,0.7017,0.6424,0.7732,0.9224,NA,0.35,RF ranger. Feature selection por importancia RF_001. Subconjunto: top40 (40 vars). mtry=20 min_node_size=5 splitrule=gini num.trees=150. Threshold optimizado sobre probs OOB (max F1). th=0.35 F1_OOB=0.7017 AUC_OOB=0.9224.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RF_002_top60,2026-04-13,Jonathan Melo,RandomForest,60,none,NA,0.709,0.6566,0.7703,0.9265,NA,0.36,RF ranger. Feature selection por importancia RF_001. Subconjunto: top60 (60 vars). mtry=20 min_node_size=5 splitrule=gini num.trees=150. Threshold optimizado sobre probs OOB (max F1). th=0.36 F1_OOB=0.709 AUC_OOB=0.9265.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XGB_002_top20,2026-04-13,Jonathan Melo,XGBoost,20,none,5,0.6876,0.6385,0.7449,0.9187,NA,0.36,XGBoost. Feature selection por ranking permutación RF_001. Subconjunto: top20 (20 vars). nrounds=200 max_depth=6 eta=0.1 gamma=0.5 min_child_weight=10 colsample=0.66 subsample=0.8. th_oof=0.36 F1_oof=0.6876 AUC_oof=0.9187.,NA,NA,NA,NA,NA,200,6,0.1,0.5,10,0.66,0.8,NA,NA
XGB_002_top40,2026-04-13,Jonathan Melo,XGBoost,40,none,5,0.7207,0.6688,0.7813,0.9354,NA,0.35,XGBoost. Feature selection por ranking permutación RF_001. Subconjunto: top40 (40 vars). nrounds=200 max_depth=6 eta=0.1 gamma=0.5 min_child_weight=10 colsample=0.66 subsample=0.8. th_oof=0.35 F1_oof=0.7207 AUC_oof=0.9354.,NA,NA,NA,NA,NA,200,6,0.1,0.5,10,0.66,0.8,NA,NA
XGB_002_top60,2026-04-13,Jonathan Melo,XGBoost,60,none,5,0.7266,0.6696,0.7942,0.9385,NA,0.33999999999999997,XGBoost. Feature selection por ranking permutación RF_001. Subconjunto: top60 (60 vars). nrounds=200 max_depth=6 eta=0.1 gamma=0.5 min_child_weight=10 colsample=0.66 subsample=0.8. th_oof=0.34 F1_oof=0.7266 AUC_oof=0.9385.,NA,NA,NA,NA,NA,200,6,0.1,0.5,10,0.66,0.8,NA,NA
CART_baseline_cp001,2026-04-13,Natalia,CART,108,none,NA,NA,NA,NA,0.8427,0.62,0.5,"Baseline CART. cp=0.001, maxdepth=20. threshold=0.5 (default, sin CV-OOF). Top vars: subsidiado_x_menores, horas_prom, menores_x_desocup",0.001,20,0.628,0.7239,0.5545,NA,NA,NA,NA,NA,NA,NA,NA,NA
CART_cv5_F1opt,2026-04-13,Natalia,CART,108,none,5,0.6616,NA,NA,0.9134,0.66,0.5,CART tuneado con CV-5. Mejor cp=1e-04. F1 CV-5=0.6616. threshold=0.5 (default).,1e-4,20,0.7295,0.7918,0.6763,NA,NA,NA,NA,NA,NA,NA,NA,NA
